Tutor,Response,Chance(%),Cap
Angela,Beautiful.,2,3
Angela,Bingo.,2,3
Angela,Nicely handled.,3,3
Angela,Righty-o.,3,3
Angela,Super.,4,3
Angela,Lovely.,4,3
Angela,Way to go.,4,3
Angela,Excellent.,5,3
Angela,Exactly.,5,3
Angela,Uh-huh.,5,5
Angela,Perfect.,6,5
Angela,Great work.,6,5
Angela,Good job.,6,5
Angela,Nice.,6,5
Angela,That's right.,9,9000
Angela,That's it.,1,9000
Angela,Yep.,1,9000
Angela,Right.,1,9000
Martin,Bravo!,1,2
Martin,Indubitably.,2,2
Martin,Splendid.,3,3
Martin,Indeed.,3,3
Martin,Absolutely.,3,3
Martin,Precisely.,3,3
Martin,Superb.,3,3
Martin,True.,3,3
Martin,Right you are.,7,5
Martin,Perfect.,7,5
Martin,Exactly.,7,5
Martin,Excellent.,7,5
Martin,Well done.,7,5
Martin,Very nice.,7,5
Martin,That's right.,7,9000
Martin,Good.,1,9000
Martin,Correct.,1,9000
Martin,Right.,1,9000
Stephanie,Aaaw yeahhh.,2,2
Stephanie,Cool beans.,2,2
Stephanie,Cha-ching!,2,2
Stephanie,Bam!,2,2
Stephanie,Slam dunk.,2,2
Stephanie,Dynamite.,2,2
Stephanie,Way to go.,2,2
Stephanie,Nailed it.,3,3
Stephanie,Good thinking.,3,3
Stephanie,I like it.,3,3
Stephanie,Totally.,4,4
Stephanie,Sweet.,4,4
Stephanie,Definitely.,4,4
Stephanie,Perfect.,4,4
Stephanie,Right on.,5,5
Stephanie,Well done.,5,5
Stephanie,Nice job.,5,5
Stephanie,Great work.,5,5
Stephanie,Good.,6,6
Stephanie,Cool.,6,6
Stephanie,That's right.,7,9000
Stephanie,Right.,7,9000
Stephanie,That's it.,7,9000
Stephanie,Yep.,8,9000
