Tutor,Response,Chance(%),Cap
Angela,Uh-huh.,3,2
Angela,Mmm-hmm.,3,2
Angela,Exactly.,5,3
Angela,Good work.,6,5
Angela,Nice.,6,5
Angela,That's right.,9,9000
Angela,That's it.,9,9000
Angela,Yep.,9,9000
Angela,Right.,9,9000
Martin,True.,3,3
Martin,Excellent.,5,5
Martin,Exactly.,7,5
Martin,Well done.,7,5
Martin,Very nice.,7,5
Martin,That's right.,9,9000
Martin,Good.,9,9000
Martin,Correct.,9,9000
Martin,Right.,9,9000
Stephanie,Well done.,5,5
Stephanie,Nice job.,5,5
Stephanie,Good.,6,6
Stephanie,That's right.,7,9000
Stephanie,Right.,9,9000
Stephanie,That's it.,9,9000
Stephanie,Yep.,9,9000
